Stock,Symbol
ABB India Limited,ABB
ACC Limited,ACC
APL Apollo Tubes Limited,APLAPOLLO
AU Small Finance Bank Limited,AUBANK
Aarti Industries Limited,AARTIIND
Adani Energy Solutions Limited,ADANIENSOL
Adani Enterprises Limited,ADANIENT
Adani Green Energy Limited,ADANIGREEN
Adani Ports and Special Economic Zone Limited,ADANIPORTS
Adani Total Gas Limited,ATGL
Aditya Birla Capital Limited,ABCAPITAL
Aditya Birla Fashion and Retail Limited,ABFRL
Alkem Laboratories Limited,ALKEM
Ambuja Cements Limited,AMBUJACEM
Angel One Limited,ANGELONE
Apollo Hospitals Enterprise Limited,APOLLOHOSP
Apollo Tyres Limited,APOLLOTYRE
Ashok Leyland Limited,ASHOKLEY
Asian Paints Limited,ASIANPAINT
Astral Limited,ASTRAL
Aurobindo Pharma Limited,AUROPHARMA
Avenue Supermarts Limited,DMART
Axis Bank Limited,AXISBANK
BIRLASOFT LIMITED,BSOFT
BSE Limited,BSE
Bajaj Auto Limited,BAJAJ-AUTO
Bajaj Finance Limited,BAJFINANCE
Bajaj Finserv Limited,BAJAJFINSV
Balkrishna Industries Limited,BALKRISIND
Bandhan Bank Limited,BANDHANBNK
Bank of Baroda,BANKBARODA
Bank of India,BANKINDIA
Berger Paints (I) Limited,BERGEPAINT
Bharat Electronics Limited,BEL
Bharat Forge Limited,BHARATFORG
Bharat Heavy Electricals Limited,BHEL
Bharat Petroleum Corporation Limited,BPCL
Bharti Airtel Limited,BHARTIARTL
Biocon Limited,BIOCON
Bosch Limited,BOSCHLTD
Britannia Industries Limited,BRITANNIA
CESC Limited,CESC
CG Power and Industrial Solutions Limited,CGPOWER
Canara Bank,CANBK
Central Depository Services (India) Limited,CDSL
Chambal Fertilizers & Chemicals Limited,CHAMBLFERT
Cholamandalam Investment and Finance Company Limited,CHOLAFIN
Cipla Limited,CIPLA
Coal India Limited,COALINDIA
Coforge Limited,COFORGE
Colgate Palmolive (India) Limited,COLPAL
Computer Age Management Services Limited,CAMS
Container Corporation of India Limited,CONCOR
Crompton Greaves Consumer Electricals Limited,CROMPTON
Cummins India Limited,CUMMINSIND
Cyient Limited,CYIENT
DLF Limited,DLF
Dabur India Limited,DABUR
Dalmia Bharat Limited,DALBHARAT
Deepak Nitrite Limited,DEEPAKNTR
Delhivery Limited,DELHIVERY
Divi's Laboratories Limited,DIVISLAB
Dixon Technologies (India) Limited,DIXON
Dr. Reddy's Laboratories Limited,DRREDDY
Eicher Motors Limited,EICHERMOT
Escorts Kubota Limited,ESCORTS
Exide Industries Limited,EXIDEIND
FSN E-Commerce Ventures Limited,NYKAA
GAIL (India) Limited,GAIL
GMR AIRPORTS LIMITED,GMRAIRPORT
Glenmark Pharmaceuticals Limited,GLENMARK
Godrej Consumer Products Limited,GODREJCP
Godrej Properties Limited,GODREJPROP
Granules India Limited,GRANULES
Grasim Industries Limited,GRASIM
HCL Technologies Limited,HCLTECH
HDFC Asset Management Company Limited,HDFCAMC
HDFC Bank Limited,HDFCBANK
HDFC Life Insurance Company Limited,HDFCLIFE
HFCL Limited,HFCL
Havells India Limited,HAVELLS
Hero MotoCorp Limited,HEROMOTOCO
Hindalco Industries Limited,HINDALCO
Hindustan Aeronautics Limited,HAL
Hindustan Copper Limited,HINDCOPPER
Hindustan Petroleum Corporation Limited,HINDPETRO
Hindustan Unilever Limited,HINDUNILVR
Housing & Urban Development Corporation Limited,HUDCO
ICICI Bank Limited,ICICIBANK
ICICI Lombard General Insurance Company Limited,ICICIGI
ICICI Prudential Life Insurance Company Limited,ICICIPRULI
IDFC First Bank Limited,IDFCFIRSTB
IIFL Finance Limited,IIFL
IRB Infrastructure Developers Limited,IRB
ITC Limited,ITC
Indian Bank,INDIANB
Indian Energy Exchange Limited,IEX
Indian Oil Corporation Limited,IOC
Indian Railway Catering And Tourism Corporation Limited,IRCTC
Indian Railway Finance Corporation Limited,IRFC
